seed,t_s,objective_currency
1,4.1640331745147705,5167.037159
1,6.798765659332275,5167.037116
1,7.09145975112915,5165.088528
1,9.109748363494873,5148.356684
1,9.449986457824707,5148.356641
1,9.455116748809814,5148.356598
1,9.460553646087646,5148.356555
1,9.473113775253296,5148.356512
1,9.482239007949829,5148.356469
1,9.643996715545654,5142.265284
1,9.647096872329712,5142.265069
1,9.65285325050354,5142.265026
1,9.905993938446045,900.572234
1,10.527848958969116,900.571039
1,11.105586767196655,900.569844
1,11.207673072814941,900.568649
1,11.226956844329834,900.567454
1,11.24917197227478,900.566259
1,11.272940874099731,900.565064
1,11.289029836654663,900.563869
1,11.496763229370117,900.562674
1,11.5142080783844,900.561479
1,12.634790658950806,900.463629
1,12.656650066375732,900.462434
1,12.728017807006836,900.461239
1,12.748101234436035,900.460044
1,12.769466638565063,900.458849
1,14.927313089370728,900.457654
1,15.735066413879395,900.456459
1,16.443709135055542,900.455264
1,16.624301433563232,889.525056
1,19.744549036026,888.549234
1,25.71803379058838,888.499105
1,26.40766191482544,888.49791
1,26.41139006614685,888.496715
1,26.415400981903076,888.496672
1,26.419535636901855,888.496629
1,26.42352533340454,888.495434
1,26.427252769470215,888.495391
1,26.699177503585815,888.494196
1,26.755813598632812,888.494153
1,26.761521339416504,888.492958
1,26.805328845977783,888.491763
1,26.854841709136963,888.49172
1,27.301271200180054,888.491677
1,27.359269857406616,888.491634
1,27.47451114654541,888.490439
1,27.620612859725952,885.311814
1,36.82018041610718,885.213964
1,37.74142575263977,885.131564
1,44.386560916900635,885.120764
1,51.03158402442932,877.159006
2,3.424229860305786,5167.037159
2,6.2729034423828125,5167.037116
2,6.613980293273926,5165.088528
2,6.921559810638428,5159.490278
2,10.570911407470703,5151.650278
2,10.719442129135132,1953.951175
2,12.617078065872192,900.660749
2,15.564146041870117,899.723449
2,24.830475091934204,899.707999
2,25.802813291549683,892.887155
2,29.37317681312561,888.316245
2,33.4391770362854,888.291616
2,33.445884227752686,888.291573
2,33.45196795463562,888.29153
2,33.45833706855774,888.291487
2,33.471572399139404,888.291444
2,33.47817039489746,888.291401
2,33.49404573440552,888.291358
2,33.50137686729431,888.291315
2,33.50535321235657,888.291272
2,33.52210354804993,888.291229
2,33.572174072265625,888.291186
2,33.57700324058533,888.291143
2,33.583494901657104,888.2911
2,33.58823275566101,888.291057
2,33.59301018714905,888.291014
2,33.59973335266113,888.290971
2,33.60435104370117,888.290928
2,33.61088752746582,888.290885
2,33.615559339523315,888.290842
2,33.62336468696594,888.290799
2,33.635342597961426,888.290756
2,33.642069816589355,888.290713
2,33.65598106384277,888.29067
2,33.71938633918762,888.290627
2,33.72358775138855,888.290584
2,33.732534408569336,888.290541
2,33.74027681350708,888.290498
2,33.745628356933594,888.290455
2,33.75078868865967,888.290412
2,33.7559769153595,888.290369
2,33.763641357421875,888.290326
2,33.770763874053955,888.290283
2,33.77751088142395,888.29024
2,33.78494048118591,888.290197
2,33.80106234550476,888.290154
2,33.80768346786499,888.290111
2,33.81657791137695,888.290068
2,33.86059832572937,888.290025
2,33.868709087371826,888.289982
2,33.87167024612427,880.458965
2,37.35816764831543,880.429716
2,44.58578705787659,879.83342
2,58.71771860122681,879.77162
3,3.9183292388916016,5167.037159
3,6.080895900726318,5167.037116
3,6.752869606018066,5014.532908
3,7.385584831237793,5007.759257
3,7.392526388168335,5007.759214
3,7.692623615264893,5007.759171
3,8.109158277511597,5007.759128
3,8.11372685432434,5007.759085
3,8.443817615509033,892.849999
3,14.569497346878052,892.462655
3,14.781071186065674,892.462612
3,14.785942792892456,892.462569
3,14.791100978851318,892.462526
3,14.795828342437744,892.462483
3,14.805000305175781,892.46244
3,14.826200723648071,892.462397
3,14.833928108215332,892.462354
3,14.84107255935669,892.462311
3,14.860584497451782,892.462268
3,15.386234760284424,892.462225
3,15.904891967773438,892.462182
3,15.955944061279297,892.462139
3,16.497142791748047,892.462096
3,16.545007705688477,892.462053
3,16.60328459739685,892.46201
3,16.87313723564148,892.461967
3,16.934813261032104,892.461924
3,17.352633476257324,888.964014
3,19.876193046569824,886.169265
3,26.043962001800537,886.05854
3,27.747838258743286,885.947815
3,29.28487801551819,885.90919
3,31.534088611602783,883.84954
3,35.403666496276855,883.83409
3,42.639163970947266,883.731055
3,42.64816403388977,883.72986
3,42.65417218208313,883.728665
3,42.66013216972351,883.72747
3,42.669050455093384,883.726275
3,42.677133560180664,883.72508
3,42.683757305145264,883.723885
3,42.74382543563843,883.72269
3,42.750433683395386,883.721495
3,42.75780487060547,883.7203
3,42.76408100128174,883.719105
3,42.769463300704956,883.71791
3,43.18356251716614,883.716715
3,43.18994188308716,883.71552
3,43.1964898109436,883.714325
3,43.20289611816406,883.71313
3,43.21338391304016,883.711935
3,43.21933078765869,883.71074
3,43.223856925964355,883.709545
3,43.22946357727051,883.70835
3,43.23626494407654,883.707155
3,43.244171380996704,883.70596
3,43.25119066238403,883.704765
3,43.298601388931274,883.70357
3,43.30860877037048,883.702375
3,43.318593978881836,883.70118
3,43.32498860359192,883.699985
3,43.334919452667236,883.69879
3,43.3421950340271,883.697595
3,43.34847640991211,883.6964
3,43.35481095314026,883.695205
3,43.361892223358154,883.69401
3,43.36778998374939,883.692815
3,43.375044107437134,883.69162
3,43.38496136665344,883.690425
3,43.391162633895874,883.68923
3,43.41073274612427,883.688982
3,43.416993141174316,883.687997
3,43.470311880111694,883.687954
3,43.511873722076416,883.686759
3,44.138198375701904,883.686673
3,44.18793606758118,883.685688
3,44.23386263847351,883.684493
3,44.65994834899902,882.754783
3,44.711933851242065,882.753588
3,44.90181493759155,882.753545
3,49.75235152244568,882.447885
4,3.4424211978912354,5167.037159
4,3.5057215690612793,5165.088528
4,7.1203978061676025,5158.997128
4,7.767391681671143,4992.309328
4,8.073075771331787,4985.416428
4,9.461516380310059,1828.322042
4,11.498855113983154,1607.759059
4,11.677109003067017,1607.759016
4,11.682241439819336,1607.758973
4,11.686479330062866,1607.75893
4,11.690860509872437,1607.757945
4,11.695294857025146,1607.757902
4,11.6992826461792,1607.757859
4,11.7141273021698,1607.757816
4,11.746142387390137,1607.757773
4,11.814582586288452,1607.75773
4,11.837573289871216,1607.756745
4,11.853976011276245,1607.756702
4,11.870589017868042,1607.756659
4,11.886089563369751,1607.756616
4,12.682817935943604,1607.756573
4,12.983430862426758,1607.75653
4,13.730409145355225,1590.749627
4,13.734379053115845,1590.749584
4,13.758119821548462,1590.749541
4,13.775607347488403,1590.749498
4,14.600161790847778,1590.749455
4,14.61683201789856,1590.74847
4,14.939081192016602,900.032762
4,15.084088563919067,900.032719
4,15.154679298400879,900.032676
4,15.212499618530273,900.032633
4,15.281563758850098,900.03259
4,15.33105993270874,900.032547
4,15.96660566329956,900.032504
4,16.124916315078735,900.032461
4,17.340954303741455,899.673196
4,20.967186212539673,897.926949
4,21.063286542892456,897.925754
4,21.067936897277832,897.924559
4,21.10611844062805,897.923364
4,21.543980598449707,896.255526
4,28.16235876083374,895.988238
4,37.947787284851074,894.841953
4,40.3608672618866,887.703468
4,40.728975772857666,887.702273
4,40.73575687408447,887.701078
4,40.74786925315857,887.699883
4,40.76900911331177,887.698688
4,40.78108024597168,887.697493
4,40.786765336990356,887.696298
4,40.79120373725891,887.695103
4,40.79515290260315,887.693908
4,40.8026704788208,887.692713
4,40.80876445770264,887.691518
4,40.81619620323181,887.690323
4,40.82914209365845,887.689128
4,40.835381269454956,887.687933
4,40.84240198135376,887.686738
4,40.85049295425415,887.685543
4,40.858062505722046,887.684348
4,40.86496376991272,887.683153
4,40.87557005882263,887.681958
4,40.88149070739746,887.680763
4,40.88919448852539,887.679568
4,40.89844870567322,887.678373
4,40.90478587150574,887.677178
4,40.909249782562256,887.675983
4,40.91326141357422,887.674788
4,40.9189395904541,887.673593
4,40.927786350250244,887.672398
4,40.93177604675293,887.671203
4,40.935959577560425,887.670008
4,41.01765155792236,887.668813
4,41.06172776222229,887.667618
4,41.10428214073181,887.666423
4,41.15427541732788,887.665228
4,41.29336452484131,886.724763
4,49.79448080062866,886.531376
4,50.52223610877991,886.531333
4,50.5259051322937,886.530138
4,50.5299015045166,886.528943
4,58.900898456573486,885.812966
5,3.5995373725891113,5167.037159
5,5.839840412139893,5167.037116
5,6.159057140350342,5159.388528
5,6.428014278411865,5157.099878
5,6.712953090667725,5145.849878
5,9.200824975967407,4986.21637
5,9.206613302230835,4986.216327
5,9.211531639099121,4986.216284
5,9.716471910476685,1851.198948
5,10.38269329071045,894.790356
5,23.12589192390442,886.079328
5,26.783217906951904,881.746232
5,28.21921968460083,881.354832
5,31.364869832992554,877.980851
5,33.75281620025635,877.912653
5,34.74160075187683,877.901559
5,37.22566056251526,877.510159
5,38.05487418174744,877.185064
5,53.948296546936035,877.113476
5,57.00399160385132,877.000176
5,57.094603300094604,876.917776
6,3.3482916355133057,5167.037159
6,6.109514236450195,5167.037116
